Season,Player_Name,Position,Team,Passing_Yards,Passing_TDs,Interceptions_Thrown,Rushing_Yards,Rushing_TDs,Targets,Receptions,Receiving_Yards,Receiving_TDs,Games_Played,Total_Yards,Total_TDs
2025,C.Williams,,CHI,3942,27,7,395,3,2,2,22,1,17,4359,31
2025,D.Swift,,CHI,0,0,0,1087,9,48,34,290,1,16,1377,10
2025,K.Monangai,,CHI,0,0,0,783,5,30,18,164,0,17,947,5
2025,D.Moore,,CHI,2,1,0,79,1,85,50,667,6,17,748,8
2025,C.Loveland,,CHI,0,0,0,-2,0,83,58,713,6,16,711,6
2025,L.Burden,,CHI,0,0,0,37,0,60,47,652,2,15,689,2
2025,R.Odunze,,CHI,0,0,0,0,0,91,44,661,6,12,661,6
2025,C.Kmet,,CHI,0,0,0,0,0,49,30,347,2,16,347,2
2025,O.Zaccheaus,,CHI,0,0,0,25,0,66,39,313,2,14,338,2
2025,J.Walker,,CHI,0,0,0,0,0,10,6,87,2,3,87,2
2025,T.Bagent,,CHI,47,0,0,7,0,0,0,0,0,2,54,0
2025,B.Brown,,CHI,0,0,0,37,1,1,0,0,0,1,37,1
2025,D.Duvernay,,CHI,0,0,0,0,0,5,2,26,0,3,26,0
2025,D.Smythe,,CHI,0,0,0,0,0,6,4,25,0,4,25,0
2025,R.Johnson,,CHI,0,0,0,17,0,0,0,0,0,2,17,0
2025,T.Homer,,CHI,0,0,0,-2,0,0,0,0,0,1,-2,0
